ISIN;PAYS_RISQUE;CATEG_ISSUER;RATING;NIV_SENIORITE;ISSUER;NIV_SUBORDINATION;CATEGORIE_1;CATEGORIE_2;CATEGORIE_3;MATURITE;MATURITE_CALL;NAME;CPN;FRQ;ISSUER_DATE;INDICE;DATE_ACHAT;YIELD_ACHAT;SUB_DATE_RBST;SUBORD;BASE_INDICE;FLOATER;MONETAIRE
IT0004849318;Italie;Finance;10;;Intesa San Paolo;;poche_obligations;Obligations_credit;Obligations_credit;05/10/2017;01/01/2001;Intesa 4.8 05/10/2017;4.8;1;05/10/2013;;31/03/2015;0.911199987;01/01/2001;;0;0;0
IT0004871965;Italie;Finance;10;;Intesa San Paolo;;poche_obligations;Obligations_credit;Obligations_credit;18/01/2019;01/01/2001;Intesa 3.7 18/01/2019;3.7;1;18/01/2014;;31/03/2015;1.158400059;01/01/2001;;0;0;0
IT0004909013;Italie;Finance;10;;Intesa San Paolo;;poche_obligations;Obligations_credit;Obligations_credit;15/05/2018;01/01/2001;Intesa Float 15/05/2018;2.8;4;15/08/2013;;31/03/2015;0.954999983;01/01/2001;;0;1;1
XS1050547857;USA;Finance;8;;Morgan Stanley;;poche_obligations;Obligations_credit;Obligations_credit;31/03/2021;01/01/2001;MS 2 3/8 31/03/2021;2.375;1;31/03/2015;;31/03/2015;0.960699975;01/01/2001;;0;0;0
XS0611783928;France;Corporate;3;5;Reseau Ferré de France;NS;poche_obligations;Obligations_credit;Obligations_credit;07/10/2026;26/02/2021;RESFER 4 1/4 10/07/26;4.25;1;07/10/2012;;04/01/2011;4.352000237;26/02/2021;;0;0;0
SWAP00083600;France;Finance;3;5;SOCIETE GENERALE;NS;Cash;Cash;Cash;07/10/2026;26/02/2021;SWAP00083600;4.25;1;01/01/1950;;04/01/2011;4.352000237;26/02/2021;;0;0;0
A10061;;;;;;;Alternatif;private;private;;;;;;01/01/1950;;;;;;0;0;0
SWAP00083603;France;Finance;3;5;SOCIETE GENERALE;NS;Cash;Cash;Cash;07/10/2026;26/02/2021;SWAP00083603;4.25;1;01/01/1950;;04/01/2011;4.352000237;26/02/2021;;0;0;0
SWAP00083605;France;Finance;3;5;SOCIETE GENERALE;NS;Cash;Cash;Cash;07/10/2026;26/02/2021;SWAP00083605;4.25;1;01/01/1950;;04/01/2011;4.352000237;26/02/2021;;0;0;0
SWAP00095449;France;Finance;3;5;SOCIETE GENERALE;NS;Cash;Cash;Cash;07/10/2026;26/02/2021;SWAP00095449;4.25;1;01/01/1950;;04/01/2011;4.352000237;26/02/2021;;0;0;0
XS1064100115;USA;Finance;7;5;JP Morgan;NS;poche_obligations;Obligations_credit;Obligations_credit;07/05/2019;26/02/2021;JPM Float 05/2019;0.592;4;07/08/2014;;02/07/2015;0.379999995;26/02/2021;;0;1;0
LU1135865084;;;;;;;OPCVM_hors_europe;OPCVM_USA;OPCVM_USA;;;Lyxor ETF S&P500;;;01/01/1950;;;;;;0;0;0
LU1103155468;;;;;;;poche_actions_europe;OPCVM_actions_europe;OPCVM_Europe_minvar;;;Amundi minvar;;;01/01/1950;;;;;;0;0;0
DE0009750554;;;;;;;poche_actions_europe;OPCVM_actions_europe;OPCVM_Europe_minvar;;;Quoniam MINRISK;;;01/01/1950;;;;;;0;0;0
FR0010965137;;;;;;;Alternatif;hedge;hedge;;;CPR CROISSANCE;;;01/01/1950;;;;;;0;0;0
FR0000186413;France;poche_obligation;3;;;;poche_obligations;Obligations_govies;Obligations_govies_indexees;25/07/2029;;OATi 3.4 05/2029;3.4;1;25/07/2000;FRCPXTOB Index;;;;;100.6;0;0
IT0004887896;Italie;Finance;10;;Intesa San Paolo;;poche_obligations;Obligations_credit;Obligations_credit;08/02/2019;01/01/2001;Intesa 3.1 02/2019;3.1;1;08/02/2014;;31/03/2015;1.041800022;01/01/2001;;0;0;0
IT0004898273;Italie;Finance;10;;Intesa San Paolo;;poche_obligations;Obligations_credit;Obligations_credit;10/04/2019;01/01/2001;Intesa 3.5 04/2019;3.5;1;10/04/2014;;31/03/2015;1.041800022;01/01/2001;;0;0;0
FR0011033851;France;Finance;8;;CNP;T2;poche_obligations;Obligations_credit;Obligations_credit;30/09/2041;30/09/2021;CNP 6.875   09/2041;6.875;1;30/09/2011;;08/04/2015;2.439100027;30/09/2021;Y;0;0;0
FR0011372622;France;Corporate;8;;Auchan;NS;poche_obligations;Obligations_credit;Obligations_credit;12/12/2022;30/09/2001;Auchan 2.375  12/2022;2.375;1;12/12/2013;;07/04/2015;0.806900024;30/09/2001;;0;0;0
FR0012649333;France;Finance;4;;Agence France Locale;NS;poche_obligations;Obligations_credit;Obligations_credit;20/03/2022;30/09/2001;Ag France Loc. 0.375  03/2022;0.375;1;20/03/2016;;14/04/2015;0.312099993;30/09/2001;;0;0;0
XS0847433561;France;Finance;6;;BNP Paribas;NS;poche_obligations;Obligations_credit;Obligations_credit;24/10/2022;30/09/2001;BNP 2.875 10/2022;2.875;1;24/10/2013;;01/04/2015;0.826099992;30/09/2001;;0;0;0
XS1206712868;France;Finance;8;;Carrefour Banque;NS;poche_obligations;Obligations_credit;Obligations_credit;20/03/2020;30/09/2001;Carrefour Banque;0.525;4;22/06/2015;;14/04/2015;0.433290988;30/09/2001;;0;1;0
DE0001102309;Allemagne;poche_obligation;1;;NAME;NS;poche_obligations;Obligations_govies;Obligations_govies_nominales;15/02/2023;17/10/2022;DBR 1.5  02/23;1.5;1;15/02/2014;;19/05/2015;0.379999995;17/10/2022;;0;0;0
